frame,beyblade1,beyblade2,beyblade1_position,beyblade2_position,collision_status,beyblade1_status,beyblade2_status
1,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
2,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
3,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
4,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
5,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
6,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
7,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
8,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
9,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
10,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
11,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
12,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
13,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
14,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
15,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
16,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
17,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
18,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
19,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
20,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
21,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
22,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
23,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
24,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
25,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
26,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
27,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
28,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
29,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
30,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
31,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
32,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
33,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
34,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
35,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
36,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
37,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
38,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
39,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
40,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
41,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
42,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
43,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
44,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
45,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
46,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
47,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
48,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
49,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
50,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
51,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
52,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
53,Dran Buster 1-60A,wizard rod 5-70db,,,,Spinning,Spinning
